Symbol,Name,LastSale,MarketCap,ADR TSO,Country,IPOyear,Sector,Industry,Summary Quote
WOOD,iShares S&P Global Timber & Forestry Index Fund,66.98,309447600,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wood
INDY,iShares S&P India Nifty 50 Index Fund,34.78,1140784000,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/indy
IJT,iShares S&P Small-Cap 600 Growth ETF,159.55,4451445000,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ijt
DVY,iShares Select Dividend ETF,93.7,17062770000,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dvy
SHV,iShares Short Treasury Bond ETF,110.36,5827008000,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/shv
CRED,iShares U.S. Credit Bond ETF,112.16,1542200000,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cred
PFF,iShares U.S. Preferred Stock ETF,38.81,18514310500,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pff
JNCE,"Jounce Therapeutics, Inc.",14.97,481947368.6,n/a,United States,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/jnce
KALA,"Kala Pharmaceuticals, Inc.",20.68,501015394,n/a,United States,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kala
KPTI,Karyopharm Therapeutics Inc.,10.63,501086092.4,n/a,United States,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kpti
KOPN,Kopin Corporation,4.42,332192008.5,n/a,United States,1992,Technology,Semiconductors,http://www.nasdaq.com/symbol/kopn
LNTH,"Lantheus Holdings, Inc.",17.35,648035529.9,n/a,United States,2015,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/lnth
LPTX,"LEAP THERAPEUTICS, INC.",5.56,52241315.2,n/a,United States,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/lptx
LMAT,"LeMaitre Vascular, Inc.",37.25,708605483.5,n/a,United States,2006,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/lmat
LOGM,"LogMein, Inc.",111.15,5855560285,n/a,United States,2009,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/logm
LPLA,LPL Financial Holdings Inc.,49.48,4451956568,n/a,United States,2010,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/lpla
MTSI,"MACOM Technology Solutions Holdings, Inc.",43.27,2779400896,n/a,United States,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/mtsi
MDGL,"Madrigal Pharmaceuticals, Inc.",34.35,429227466.8,n/a,United States,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mdgl
MELR,"Melrose Bancorp, Inc.",19.15,49829812.85,n/a,United States,2014,Finance,Major Banks,http://www.nasdaq.com/symbol/melr
MRCY,Mercury Systems Inc,49.8,2395643542,n/a,United States,1998,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/mrcy
EBSB,"Meridian Bancorp, Inc.",18.375,990757215,n/a,United States,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ebsb
MACK,"Merrimack Pharmaceuticals, Inc.",14.26,189372800,n/a,United States,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mack
MRSN,"Mersana Therapeutics, Inc.",18.04,409735827.2,n/a,United States,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mrsn
MKSI,"MKS Instruments, Inc.",91.35,4958072497,n/a,United States,1999,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/mksi
MLNK,"ModusLink Global Solutions, Inc",1.67,92776163.63,n/a,United States,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/mlnk
MNTA,"Momenta Pharmaceuticals, Inc.",17.2,1311177139,n/a,United States,2004,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/mnta
TYPE,Monotype Imaging Holdings Inc.,18.5,771767793,n/a,United States,2007,Technology,EDP Services,http://www.nasdaq.com/symbol/type
NTCT,"NetScout Systems, Inc.",32.625,2921190006,n/a,United States,1999,Technology,EDP Services,http://www.nasdaq.com/symbol/ntct
NURO,"NeuroMetrix, Inc.",2.015,4282920.785,n/a,United States,2004,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/nuro
NUROW,"NeuroMetrix, Inc.",0.06,0,n/a,United States,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/nurow
NEWS,"NewStar Financial, Inc.",11.43,475573210.7,n/a,United States,2006,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/news
NOVT,Novanta Inc.,42.65,1474931726,n/a,United States,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/novt
NVUS,"Novus Therapeutics, Inc.",5,34715300,n/a,United States,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/nvus
NUAN,"Nuance Communications, Inc.",16.04,4629133045,n/a,United States,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/nuan
NXTM,"NxStage Medical, Inc.",27.77,1833019333,n/a,United States,2005,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/nxtm
OCUL,"Ocular Therapeutix, Inc.",6.38,185383475,n/a,United States,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ocul
OACQ,Origo Acquisition Corporation,10.6,35207232.2,n/a,United States,2015,Finance,Business Services,http://www.nasdaq.com/symbol/oacq
OACQR,Origo Acquisition Corporation,0.4796,0,n/a,United States,2015,Finance,Business Services,http://www.nasdaq.com/symbol/oacqr
OACQU,Origo Acquisition Corporation,10.76,0,n/a,United States,2014,Finance,Business Services,http://www.nasdaq.com/symbol/oacqu
OACQW,Origo Acquisition Corporation,0.3203,0,n/a,United States,2015,Finance,Business Services,http://www.nasdaq.com/symbol/oacqw
OVAS,OvaScience Inc.,1.4,49961084.6,n/a,United States,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ovas
PRTK,"Paratek Pharmaceuticals, Inc. ",24.7,685701343.6,n/a,United States,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/prtk
PRXL,PAREXEL International Corporation,87.99,4497636127,n/a,United States,1995,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/prxl
PEGA,Pegasystems Inc.,59.4,4610902131,n/a,United States,1996,Technology,EDP Services,http://www.nasdaq.com/symbol/pega
PRGS,Progress Software Corporation,37.28,1800201394,n/a,United States,1991,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/prgs
PRTO,"Proteon Therapeutics, Inc.",1.7,29953010.6,n/a,United States,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/prto
PTI,"Proteostasis Therapeutics, Inc.",1.94,48697676.3,n/a,United States,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/pti
PVBC,"Provident Bancorp, Inc.",22.625,217953141,n/a,United States,2015,Finance,Savings Institutions,http://www.nasdaq.com/symbol/pvbc
