Symbol,Name,LastSale,MarketCap,ADR TSO,Country,IPOyear,Sector,Industry,Summary Quote
BIF,"USLIFE Income Fund, Inc.",10.18,1080065597,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bif
EGY,Vaalco Energy Inc,0.7777,45742782.71,n/a,United States,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/egy
VLO,Valero Energy Corporation,74.29,32811216183,n/a,United States,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/vlo
VHI,"Valhi, Inc.",2.44,827577115.6,n/a,United States,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/vhi
VOC,VOC Energy Trust,3.4086,57946200,n/a,United States,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/voc
WTI,"W&T Offshore, Inc.",2.85,392791970.4,n/a,United States,2005,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/wti
WM,"Waste Management, Inc.",78.2,34410800342,n/a,United States,n/a,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/wm
WRI,Weingarten Realty Investors,31.76,4078560984,n/a,United States,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/wri
WGP,"Western Gas Equity Partners, LP",39.26,8595315116,n/a,United States,2012,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/wgp
WES,"Western Gas Partners, LP",49.54,8202820221,n/a,United States,2008,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/wes
WLK,Westlake Chemical Corporation,80.79,10426384231,n/a,United States,2004,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/wlk
WLKP,Westlake Chemical Partners LP,23.95,648080533.5,n/a,United States,2014,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/wlkp
WHG,Westwood Holdings Group Inc,63.39,563756809.7,n/a,United States,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/whg
WSR,Whitestone REIT,12.86,495406487.3,n/a,United States,2010,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/wsr
WRD,WildHorse Resource Development Corporation,12.31,1244975543,n/a,United States,2016,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/wrd
WG,"Willbros Group, Inc.",3.02,191172296.7,n/a,United States,1996,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/wg
YUMC,"Yum China Holdings, Inc.",39.71,15222280621,n/a,United States,2016,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/yumc
